"CourseIdentifier","Subject","Number","Title","Credits","OrgUnitIdentifier","Type","Description","CIPCode"
"CSST1027C","CSST","1027C","VMVCLOUD",4,"CSST","Undergraduate","Focuses on installing, configuring and managing VMware vCloud Automation Center. Covers the configuration and use of the vCloud Automation Center platform, including self-service provisioning and the creation of multivendor cloud services. Focuses on installing, configuring and managing VMware NSX. Covers NSX as part of the software-defined data center platform, implementation use cases along with features of NSX and functionality operating at Layer 2 through Layer 7 of the OSI model. Lecture and hands-on lab activities support the student's understanding of VMware NSX features, functionality and on-going management and control.",15.1202
"CSST1030C","CSST","1030C","PC HARDWARE",4,"CSST","Undergraduate","Introduction to PC hardware concepts. Install, configure and operate PC devices, e.g. processor, motherboard, memory, video card, disk drive, CDROM, sound card, printers.",15.1202
"CSST1031C","CSST","1031C","PC SOFTWARE",4,"CSST","Undergraduate","This course will provide students with an introduction to hardware and operating systems concepts. They will learn to install, configure and use various PC operating systems. They will also experience classroom and laboratory experience in computer and networking technology basics.",15.1202
"CSST1032C","CSST","1032C","BASIC NETWORKING",4,"CSST","Undergraduate","Study of PC network concepts and user issues. Install, configure, service and administer network operating systems.",15.1202
"CSST1033C","CSST","1033C","SOPHOMORE PROJECT",4,"CSST","Undergraduate","This course will provide students with practical hands-on experience in building a network including loading operating systems and connecting hardware. The course will be a culmination of all prior classes taken in a degree program. It will include classroom and laboratory experience in computer and networking technology basics. Coverage also includes important major components of networks, fundamentals of network operation and development process. - Prerequisite Definition: To take this course you must: Have taken the following Courses CSST1021C min grade C-, or CSST1030C min grade C-,CSST1031C min grade C-,CSST1032C min grade C-.",15.1202
"CSST1070","CSST","1070","VOICE/DATA",3,"CSST","Undergraduate","This course will teach students the relationship between digital systems and computer technology. It will expand to include voice and data communications across the internet and other information technologies.",15.1202
"CSST1071C","CSST","1071C","ELEC. FOR PC TECH.",4,"CSST","Undergraduate","This course will teach students the relationship between electronic technologies and computer technology and include the electronic basis of computer boards and other information technologies.",15.1202
"CSST2021C","CSST","2021C","CCNA SECURITY",5,"CSST","Undergraduate","This course will equip students with the knowledge and skills necessary to prepare for entry level security specialist careers. This course is a hands-on, career-oriented e-learning solution that emphasizes practical experience. CCNA Security is a blended curriculum with both online and classroom learning. - Prerequisite Definition: To take this course you must: Have taken the following Course CSST1022C min grade D-.",15.1202
"CSST2022C","CSST","2022C","ADV. COMP. SYS. I",5,"CSST","Undergraduate","This course will provide students with advanced classroom and laboratory experience in computer and networking technology. Coverage also includes important major components of networks, advanced process of network operation and the CCNP process. - Prerequisite Definition: To take this course you must: Have taken the following Course CSST1022C min grade D-.",15.1202
"CSST2023C","CSST","2023C","ADV. COMP. SYS. II",5,"CSST","Undergraduate","This course will provide students with advanced classroom and laboratory experience in computer and networking technology. Coverage also includes important major components of networks, advanced process of network operation and the CCNP process. - Prerequisite Definition: To take this course you must: Have taken the following Course CSST2022C min grade D-.",15.1202
"CSST2024C","CSST","2024C","ADV. COMP. SYS. III",5,"CSST","Undergraduate","This course teaches students how to implement, monitor and maintain switching in converged enterprise campus networks. Students will learn how to plan, configure and verify the implementation of complex enterprise switching solutions. The course also covers the secure integration of VLANs, WLANs, voice and video into campus networks. Comprehensive labs emphasize hands-on learning and practice to reinforce configuration skills. - Prerequisite Definition: To take this course you must: Have taken the following Course CSST2023C min grade D-.",15.1202
"CSST2031C","CSST","2031C","CSST PRAC/SEM",4,"CSST","Undergraduate","The CSST Practicum/Seminar combines approved work experience within the student's area of study in Computer Systems Support Technology or Computer Network Systems Support with a seminar with opportunities to reflect upon and discuss practicum experiences. This course will continue the process of integrating theory presented in other CSST courses with the experience and application of the skills in field work.",15.1202
"DGMD1011C","DGMD","1011C","DIGITAL MEDIA LOGISTICS",3,"DGMD","Undergraduate","This course introduces students to the products, tools and environment of the digital media production technology profession. One focus of this course centers on the understanding of various file types, sizes and compression techniques used in digital media. Another focus is how different media are produced using different industry-standard software applications.",9.0702
"DGMD1012","DGMD","1012","DIGITAL MEDIA DESIGN",3,"DGMD","Undergraduate","This course introduces the student to digital media concepts that are used to produce effective projects. The focus will be on the theory of interactive design, exploring fundamental aspects of the design process, including organization of content, human-computer interaction, typography, graphics, video, audio, animation, screen layout and project testing. Color theory and basic media production practices will also be discussed. Students will demonstrate their comprehension of the concepts by critiquing existing websites and other digital media projects such as video and audio.",9.0702
"DGMD1021C","DGMD","1021C","DIGITAL MEDIA: ILLUSTRATION",3,"DGMD","Undergraduate","This course presents students with content and application for creating vector graphics. It will also provide students with an overview of how to model, render, and light in 2D and 3D digital imaging environments. Students will apply theories they learned in foundation art and design courses to draw and enhance digital illustrations.",9.0702
"DGMD1022C","DGMD","1022C","DIGITAL MEDIA: PHOTOGRAPHY",3,"DGMD","Undergraduate","Photo shooting and enhancing are the focal points of this course. Photo-enhancing software will enable students to manipulate images for laboratory projects. Students will also learn proper care and use of a digital camera, and basic photography techniques such as compositing, perspective, framing, lighting and special effects.",9.0702
"DGMD2011C","DGMD","2011C","DIGITAL MEDIA: ANIMATION",3,"DGMD","Undergraduate","This course shows students the basic theories behind digital frame-based animation. The timeline will be analyzed in detail, and techniques such as looping, warping, and morphing will be covered. Students will learn how to program interactive controls, draw shapes, move objects on paths, and incorporate sound into an animation. The final project requires students to produce an interactive animation with sound.",9.0702
"DRPF2052","DRPF","2052","HISTORY OF THEATRE",3,"DRPF","Undergraduate","History of Theatre is a chronological look at the rise of Western theatre from ancient times to the Renaissance. The course examines how theatre emerges, its dramatic structure, styles of acting,various visual elements, and different production techniques. The course also explores how theatre artisans built upon the experiences of one another, introduces key figures from theatre history and shows how theatre continues to influence us today. Pre-Requisite: To take this course you must: Be enrolled in the following Program 16BAC.",50.0505
"ECE1001","ECE","1001","FOUNDATIONS IN ECE",3,"ECE","Undergraduate","This course is designed for beginning early childhood education students. The course introduces the students to the current knowledge base related to families, how young children develop and learn, and early childhood education programs. The course content includes: (a) currenttheories on how young children develop and learn, (b) the historical, philosophical, and social foundations of contemporary programs, (c) the roleof the early childhood professional, and (e) current early childhood education issues. Depending on the section that students register for, students may need to have background checks and physicals completed as part of course requirements.",13.121
"ECE2000","ECE","2000","INTRO CHILD DEV",3,"ECE","Undergraduate","This course is a study of the growth and development of the child prenatal through age 8 inthe areas of physical, cognitive, language, and social/emotional development. Students develop an understanding of theories of development, current research, and influences on development such as nature and nurture. Observational techniques for assessing development are examined. Students will need to have access to a child for this course.",13.121
"ECE2022","ECE","2022","CHILD GUIDE PLAY",3,"ECE","Undergraduate","This course is designed to increase students' knowledge base of child development as it specifically relates to young children's play, developmentally appropriate practice, how childrenlearn through play, variations in development, andthe facilitation of the development of children. Additionally, ways in which teachers scaffold the prosocial development of children is a focus of the course.",13.121
"ECE2025","ECE","2025","FAM COMM SCHOOLS",3,"ECE","Undergraduate","This course explores educational considerations inworking with young children and families from a variety of cultural, ethnic, and other diverse backgrounds. This course also addresses issues related to working with families in early care andeducation and to learning strategies for building partnerships, communicating about child progress, and accessing community resources.",13.121
"ECON1001","ECON","1001","INTRO TO MICROECON",3,"ECON","Undergraduate","The course assists students to learn and comprehend (1) economics as a social science that draws conclusions based on hypotheses, theories, and data in order to understand human behavior, (2) basic microeconomics terms and concepts, including scarcity and choice, equilibrium, efficiency and equity, positive and normative economics, comparative advantage, and specialization, (3) the fundamental economic question of allocating scarce resources, (4) opportunity cost and the production possibility frontier, (5) supply and demand, the function of prices in markets, how markets work and sometimes don't work, including market failure and externalities, (6) the effects of government intervention in markets, (7) how consumers make choices, (8) production theory, (9) the costs of production, (10) firm behavior in competitive markets, (11) firm behavior in imperfect markets, (12) elasticity and its application, (13) markets for resources, the determination of wage rates, interest, and rent, (14) the determination of income distribution, including poverty and discrimination, (15) the determinants of international trade flows, (16) to apply economic",45.0601
"ECON1002","ECON","1002","INTRO TO MACROECON",3,"ECON","Undergraduate","The course assists students to learn and comprehend (1) economics as a social science that draws conclusions based on hypotheses, theories, and data in order to understand human behavior, (2) basic macroeconomic terminology and concepts, including the distinction between real and nominalmagnitudes, (3) the national income accounts, (4) the nature of the business cycle, (5) the determinates of important macroeconomic variables,including the level of income, the level of employment, the unemployment rate, the natural rate of unemployment, the price level, the inflation rate, productivity and the rate of interest, (6) the supply and demand for money, (7)the Federal Reserve System, (8) aggregate demand and aggregate supply, (9) the effects of fiscal and monetary policies, (10) the basics of theoriesof macroeconomic instability, (11) unemployment and inflation tradeoffs, (12) the effects of the federal government's budget deficit, (13) long rungrowth and policies to affect growth, (14) comparative advantage, (15) the determinants of foreign trade flows and exchange rates, and their effects on the domestic economy, (16) to apply economic reasoning to better understand and",45.0601
"EDST1001","EDST","1001","INTRO EDUCATION",3,"EDST","Undergraduate","Introduction to Education is an undergraduate course that provides knowledge about, and criticalanalysis of, the development and structure of schooling and teaching in the United States. It explores teaching as a profession; school governance and finance; issues of practice; historical, socio-cultural, philosophical, political, and legal foundations of education; andcurrent educational reform. This course requires 10 hours of field experience outside of class.",13.0901
"EDST1002","EDST","1002","EDUC PSYCHOLOGY",3,"EDST","Undergraduate","This course covers the major theories of human development and learning, motivation, instructional strategies, assessment, and examinessimilarities and differences in learners. The roleof factors in students' development and learning are considered.",42.2806
"EDST1090","EDST","1090","HUM DIV & SCHOOL",3,"EDST","Undergraduate","This course is an introduction to the social foundations of education related to multicultural and democratic pedagogy. As such, issues of race, religion, gender, sexuality, social and economic statuses, exceptionality, political beliefs, valuepositionality, and democratic participation will be critically examined. Pre-Requisite: To take this course you must: Have taken the following Courses 18EDST201 min grade C-, or 28EDST201 min grade C-, or 34EDFN201 min grade C-, or EDST1001 min grade C-.",13.0101
"EDST2010","EDST","2010","CLASS MNGMT & LRNG",3,"EDST","Undergraduate","This course is an introduction to the foundations,theories and practices of classroom management andlearning. It is intended to help teachers develop the classroom as a caring democratic learning community that enhances the dignity competence of all students. Pre-Requisite: To take this course you must: Have taken the following Courses 18EDST201 min grade C-, or 28EDST201 min grade C-, or 34EDFN201 min grade C-, or EDST1001 min grade C-.",13.0101
"EDST2080","EDST","2080","COOP LEARNING IN ED",3,"EDST","Undergraduate","This is an introduction to the theory, research, and practice of cooperative learning, team work, and co-teaching in education. The focus of this class is on how to apply this knowledge in schoolsand classrooms to promote equity and success for all students and educators. Pre-Requisite: To take this course you must: Have taken the following Courses 18EDST201 min grade C-, or 28EDST201 min grade C-, or 34EDFN201 min grade C-, or EDST1001 min grade C-.",13.1001
"EDST2081","EDST","2081","COOP LEARN AND DIFFERENTIATION",3,"EDST","Undergraduate","This is an introduction to the theory, research, and practice of cooperative learning, teamwork, co-teaching, and differentiated instruction in education.  - Prerequisite Definition: To take this course you must: Have taken the following Courses 18EDST201 min grade C-, or 28EDST201 min grade C-, or 34EDFN201 min grade C-, or EDST1001 min grade C-.",13.0901
"EDST2099","EDST","2099","CRIT PEDAGOGY EDUC",3,"EDST","Undergraduate","This course is a culminating experience in the education program at Clermont College. This coursewill introduce the concept of CRITICAL PEDAGOGY tostudents in the attempt to promote a more democratic classroom, community, and society. Pre-Requisite: To take this course you must: Have taken the following Courses 18EDST201 min grade C-, or 28EDST201 min grade C-, or 34EDFN201 min grade C-, or EDST1001 min grade C-. Be at least a Sophomore.",13.0101
"EGTN1025C","EGTN","1025C","CAD",3,"EGTN","Undergraduate","The CAD course introduces students to the 2D CAD world. These basics need to be mastered before students go one to 3D applications. The precision or machining and other characteristics of manufacturing and the need for CAD are demonstrated in applications encountered in the course.",15
"EGTN1050C","EGTN","1050C","TOOL DESIGN",3,"EGTN","Undergraduate","Tool Design is associated with designing and producing work holding devices used in manufacturing processes. This course will provide the student hands-on experience in both. The lab component will provide students the opportunity touse real tooling components to actually build their designs. Pre-Requisite: To take this course you must: Have taken the following Courses 34EGTN181 min grade C-,34EGTN182 min grade C-, or EGTN1025C min grade C-.",15
"EGTN1090C","EGTN","1090C","RAPID PROTOTYPG",3,"EGTN","Undergraduate","The Rapid Prototype (RP) course introduces students to the world of RP and the applications of it. Most products today are designed and a RP of the product is made before production begins. Thus saving time and money by finding errors in engineering and design before costly tooling is designed, produced and implemented. The student will apply skills learned in this course to make rapid prototypes of his/her design. Pre-Requisite: To take this course you must: Have taken the following Courses 34MFTN273 min grade C-, or EGTN2000C min grade C-.",15.0613
"EGTN2000C","EGTN","2000C","ADV CAD",3,"EGTN","Undergraduate","Students will utilize knowledge and skills developed in previous CAD courses to complete workin solid modeling. Students will gain exposure to several CAD solid modeling packages and complete assignments in them. Students will learn nomenclature and processes involved with solid modeling for real world applications. Pre-Requisite: To take this course you must: Have taken the following Courses 34EGTN181 min grade C-,34EGTN182 min grade C-, or EGTN1025C min grade C-.",15
"EGTN2050C","EGTN","2050C","CAM I",3,"EGTN","Undergraduate","Using knowledge and skills developed in CAD courses, students will learn to write and prove CAM software for basic products. Students will usecutting edge software and state of the art CNC Machine tools to write and run basic products. Pre-Requisite: To take this course you must: Have taken the following Courses 34EGTN181 min grade C-,34EGTN182 min grade C-, or EGTN1025C min grade C-.",15.9999
"EGTN2051C","EGTN","2051C","CNC TECHNOLOGY",3,"EGTN","Undergraduate","Students will understand the use of full-scale state of the art CNC machines. Topics include G and M code, canned cycles, tool offsets, machine specific coordinate systems, multi-axis machining,machine tool designs, tool wear control, CAM programming, machine tool drives, post-processing,programming and machining.",15
"EGTN2075C","EGTN","2075C","CAMII",3,"EGTN","Undergraduate","Using knowledge and skills developed in CAM I students will learn to write and prove CAM software for more sophisticated products. Studentswill use cutting edge software and state of the art CNC Machine tools to write and run basic products. Pre-Requisite: To take this course you must: Have taken the following Courses 34EGTN231 min grade C-, or EGTN2050C min grade C-.",15
"EGTN2076C","EGTN","2076C","CAM",3,"EGTN","Undergraduate","Students will learn to write and proof CAM software generated programs for more sophisticatedproducts. Students will also use cutting edge software and state of the art CNC machine tools towrite and run products. Pre-Requisite: To take this course you must: Have taken the following Course EGTN2051C min grade C-.",15
"EGTN2080C","EGTN","2080C","ELEM MACHINE DESIGN",3,"EGTN","Undergraduate","Elements of Machine Design is a co-requisite course (Sophomore Project) that helps students to plan, design, and build a product or project that is real world hands on. Every attempt is made to give the student the feel of real world engineering and design work. Pre-Requisite: To take this course you must: Have taken the following Courses 34EGTN181 min grade C-, or EGTN2000C min grade C-.",15
"EGTN2090C","EGTN","2090C","SOPHOMORE PROJ",3,"EGTN","Undergraduate","Sophomore Project is a capstone course that allowsstudents to apply their knowledge and skills accumulated in the CAD Program to complete a real world application project. Pre-Requisite: To take this course you must: Have taken the following Courses 34EGTN181 min grade C-,34EGTN231 min grade C-, or EGTN2000C min grade C-,EGTN2050C min grade C-, or EGTN2051C min grade C-.",15
"ELTN1042","ELTN","1042","CIRCUIT ANALYSIS  I",3,"ELTN","Undergraduate","Analysis of linear bilateral networks, DC electriccircuits that involve multiple independent sources, using Ohm's Law, Kirchhoff's voltage and current laws, mesh and nodal analysis methods, Thevenin's and Norton's theorems, and the maximum power transfer theorem. Also explored, is the steady state and transient behavior of capacitors and inductors. Pre-Requisite: To take this course you must: Have taken the following Courses ENED1020 min grade C-,ENED1090 min grade C-,MATH1026 min grade C-, or MATH1060 min grade C-, or MATH1061 min grade C-.",14.1001
"EMS1081C","EMS","1081C","EMER MEDICAL RSPNDR",3,"EMS","Undergraduate","This course introduces the fundamentals of providing emergency care to the sick and injured until more highly trained personnel arrive. Students must be at least 18 years old and hold a high school diploma or GED. Satisfactory completion of this course allows the student to sit for the Ohio Emergency Medical Responder certification exam.",51.0904
"EMS1091C","EMS","1091C","EMER MED TECH",6,"EMS","Undergraduate","The Emergency Medical Technician(EMT)is one of thefirst components of the emergency medical responsesystem. An introductory course in the roles and responsibilies of an EMS provider focused on the performance of critical life-saving skills. The course includes a minimum of 12 hours of observation time in an emergency department or EMSunit. The course prepares the candidate for both national and state certification as an EMT, which is a prerequisite for admission into the paramedicprogram.",51.0904
"EMS2011","EMS","2011","EMT-P I",8,"EMS","Undergraduate","An introduction to the career paths for paramedicsthat also explores structure and function of EMS systems to include paramedic roles and responsibilities. Introduction to emergency medical management of basic illnesses and injurieswith emphasis on patient assessment, initial emergency management, circulation and respiratory emergencies, general pharmacology, intravenous therapy, drug administration and electrocardiogram(ECG) interpretation. Pre-Requisite: To take this course you must:  EMS28-ATS, EMS28-C2, EMS34-ATS, EMS34-C2.",51.0904
"EMS2011L","EMS","2011L","EMT-P LAB I",1,"EMS","Undergraduate","Students receive instruction and practice their newly-learned skills in a small group setting. They practice independently and then are evaluatedby faculty for each newly learned skill. Emphasis is on patient assessment, airway management, IV therapy, madication administration and ECG interpretation. Pre-Requisite: To take this course you must:  EMS28-ATS, EMS28-C2, EMS34-ATS, EMS34-C2.",51.0904
"EMS2012","EMS","2012","EMT-P II",8,"EMS","Undergraduate","An intermediate course covering the related skillsnecessary to assess and manage prehospital patients with medical and trauma complaints. Emphasis is on advanced cardiac life support, trauma, pediatrics, obstetrics, environmental emergencies, toxicology and rescue/hazardous operations. Pre-Requisite: To take this course you must:  EMS28-ATS, EMS28-C2, EMS34-ATS, EMS34-C2.",51.0904
"EMS2012L","EMS","2012L","EMT-P LAB II",1,"EMS","Undergraduate","Students receive instruction and practice their newly-learned skills in a small group setting. They practice independently and then are evaluatedby faculty for each newly learned skill. Emphasis is on advanced cardiac life support, advanced pediatric life support, medical and trauma emergencies across the age specturm. Pre-Requisite: To take this course you must:  EMS28-ATS, EMS28-C2, EMS34-ATS, EMS34-C2.",51.0904
"EMS2013","EMS","2013","EMT-P III",8,"EMS","Undergraduate","The course is a culmination of paramedic education. The student will be evaluated on their theoretical knowledge. All aspects of patient careat the level of a paramedic are addressed. This isthe final course in the series preparing students for a paramedic license. Pre-Requisite: To take this course you must:  EMS28-ATS, EMS28-C2, EMS34-ATS, EMS34-C2.",51.0904
"EMS2013L","EMS","2013L","EMT-P LAB III",1,"EMS","Undergraduate","An advanced course directed at skill mastery and review of learned interventions. The student focuses on refining their assessment and treatmentprocess through patient scenarios in a small groupsetting. They practice independently and then are evaluated by faculty for each newly learned skill.This is the final course in the series preparing them for a paramedic license. Pre-Requisite: To take this course you must:  EMS28-ATS, EMS28-C2, EMS34-ATS, EMS34-C2.",51.0904
"EMS2021","EMS","2021","EMT-P CLINICAL 1",2,"EMS","Undergraduate","The course is the first of three sequential clinical courses for the paramedic student. Students develop clinical skills and enhance critical thinking through participation in the management of emergency patients in hospital and EMS field rotations. Students practice skills under the direct supervision of a preceptor. Emphasis is placed on emergency, medical, respiratory, cardiac and psychiatric patients. Pre-Requisite: To take this course you must:  EMS28-ATS, EMS28-C2, EMS34-ATS, EMS34-C2.",51.0904
"EMS2022","EMS","2022","EMT-P CLINICAL II",2,"EMS","Undergraduate","This clinical is the second of three sequential clinical courses for the paramedic student. Students develop clinical skills and enhance critical thinking through participation in the management of emergency patients in hospital and EMS field rotations. Students practice skills under the direct supervision of a preceptor. Emphasis is placed on GYN, OB, neonate, pediatric,trauma and critical care patients. Pre-Requisite: To take this course you must:  EMS28-ATS, EMS28-C2, EMS34-ATS, EMS34-C2.",51.0904
"EMS2023","EMS","2023","EMT-P CLINCIAL III",2,"EMS","Undergraduate","The course is a field internship where students are incorporated into a role-transition process ofacting as a team leader in emergency care situations. The course provides the paramedic student with hands-on prehospital experience and is the final clinical course in the series preparing them for a paramedic license. Pre-Requisite: To take this course you must:  EMS28-ATS, EMS28-C2, EMS34-ATS, EMS34-C2.",51.0904
"EMS2031","EMS","2031","SPEC TOPICS EMS I",1,"EMS","Undergraduate","Focus is on specific topic areas with the use of case studies, simulation, and/or other appraisal methods to enhance the student’s ability to problem solve and manage the patient’s illness or injury. The course will reinforce paramedic learning objectives for specific topics. Pre-Requisite: To take this course you must:  EMS28-ATS, EMS28-C2, EMS34-ATS, EMS34-C2.",51.0904
"EMS2032","EMS","2032","SPEC TOPICS EMS II",1,"EMS","Undergraduate","Focus is on specific topic areas with the use of case studies to enhance the student's ability to problem solve and manage the patient's illness or injury. The course will reinforce paramedic learning objectives for those specific topics. Pre-Requisite: To take this course you must: Have taken the following Course EMS2031 min grade C-.  EMS28-ATS, EMS28-C2, EMS34-ATS, EMS34-C2.",51.0904
"EMS2033","EMS","2033","SPEC TOPICS EMS III",1,"EMS","Undergraduate","Focus is on specific topic areas with the use of case studies, simulation, and/or other appraisal methods to enhance the student’s ability to problem solve and manage the patient’s illness or injury. The course will reinforce paramedic learning objectives for specific topics. Pre-Requisite: To take this course you must: Have taken the following Course EMS2032 min grade C-.  EMS28-ATS, EMS28-C2, EMS34-ATS, EMS34-C2.",51.0904
"EMS2050C","EMS","2050C","IND STUDY EMS",1,"EMS","Undergraduate","An indiviually structured learning project approved and supervised by EMS faculty. Pre-Requisite: To take this course you must:  EMS28-ATS, EMS28-C2, EMS34-ATS, EMS34-C2.",51.0904
"EMS2099","EMS","2099","EMS CAPSTONE",1,"EMS","Undergraduate","This course includes the final steps of preparation to enter the paramedic profession. A series of preparation activities intended to guidethe student through the transition from student toentry level paramedic beginning a professional career. Pre-Requisite: To take this course you must:  EMS28-ATS, EMS28-C2, EMS34-ATS, EMS34-C2.",51.0904
"ENGB2034","ENGB","2034","SURVEY ENG LIT I",3,"ENGB","Undergraduate","Readings in English Literature from the Old English Period to 1780. Material will be selected from the following: Beowulf, Sir Gawain and the Green Knight, selected Canterbury Tales, medieval drama, Sidney's Essay of Dramatic Poetry, More's Utopia, fifteenth- and sixteenth-century lyric poetry, Early Modern drama, Milton's Paradise Lost, poems by John Dryden, Alexander Pope, SamuelJohnson, and Thomas Gray, Behn's Oroonoko, Swift'sGulliver's Travels, and Fielding's Joseph Andrews.",23.1404
"ENGB2035","ENGB","2035","SURVEY ENG LIT II",3,"ENGB","Undergraduate","Selected readings in British Literature from 1780 to the present. Material might include the EnglishRomantic Poets; fiction by Jane Austen, Charles Dickens, James Joyce, Joseph Conrad, and Virginia Woolf; Victorian poets and essayists; drama by G. B. Shaw; modern and contemporary British fiction, poetry, and drama.",23.1404
"ENGL0097","ENGL","0097","INTRO ACAD LITERACIES",3,"ENGL","Undergraduate","Emphasizes the conventions of academic literacies with intensive focus on critical reading, thinking, and writing strategies. - Prerequisite Definition: To take this course you must: Have taken the following Courses 28ENGL095 min grade C-, or 42ENGL095 min grade C-. Taken the following test: UCPT ENGL max score of 2.",32.0108
"ENGL0097L","ENGL","0097L","INTRO ACAD LIT LAB",1,"ENGL","Undergraduate","This multidisciplinary course integrates reading and critical thinking strategies to support comprehension and improve performance in ENGL0097 Introduction to Academic Literacies. You must alsobe enrolled in ENGL0097. This course does affect grade point average, but does not satisfy degree requirements.",32.0108
"ENGL0099","ENGL","0099","PREP COMPOSITION",3,"ENGL","Undergraduate","This course focuses on basic literacy skills required of college writers. Students will practice these literacy skills through reading to summarize and respond to texts as well as through writing assignments. This course does not satisfy degree requirements, but does affect grade point average. - Prerequisite Definition: To take this course you must: Have taken the following Course ENGL0097 min grade C-. Taken the following test UCPT ENGL min score of 3.",23.1301
"ENGL1000","ENGL","1000","INTRO TO ENGL COMP",3,"ENGL","Undergraduate","This course emphasizes critical reading and thinking strategies, textual analysis, and writingwith particular focus on increasing fluency with the composing process and strengthening rhetoricalawareness. Pre-Requisite: To take this course you must: Have taken the following Courses 28ENGL097 min grade C-, or 32ENGL097 min grade C-, or 34ENGL097 min grade C-, or 42ENGL097 min grade C-, or ENGL0096 min grade C-, or ENGL0097 min grade C-. Taken the following test UCPT ENGL min score of 3.",23.1301
"ENGL1001","ENGL","1001","ENGLISH COMP",3,"ENGL","Undergraduate","This course emphasizes critical reading, writing, and textual analysis with particular focus on argument and research-based writing. - Prerequisite Definition: To take this course you must: Have taken the following Courses 28ENGL099 min grade C-, or 32ENGL099 min grade C-, or 34ENGL099 min grade C-, or ENGL0099 min grade C-, or ENGL1000 min grade C-. Taken one of these tests ACT EW min score of 18, or ACT WR min score of 18, or ACT ENGL min score of 18, or ACT ELA1 min score of 18, or SAT VERB min score of 430, or SAT EBRW min score of 230, or SAT WR min score of 430, or UCPT ENGL min score of 5.",23.1301
"ENGL1012","ENGL","1012","ADV FIRST-YR COMP",3,"ENGL","Undergraduate","Emphasizes critical reading, writing, and textual analysis with particular focus on argument and research-based writing. In addition, English 1012 requires students to participate in active learning through service-learning projects, experiential learning activities, digital mediums,or other activities designed to enhance classroom-based learning. Pre-Requisite: To take this course you must: Taken one of these tests ACT WR min score of 28, or SAT WR min score of 630.",23.1301
"ENGL1071","ENGL","1071","NEWS WORKSHOP I",3,"ENGL","Undergraduate","This course provides an introduction to basic journalistic techniques. The class produces a student newspaper during Fall Semester.",9.0401
"ENGL1902","ENGL","1902","ENGL COMP II B",2,"ENGL","Undergraduate","Engl 1902 is restricted to students who completed Engl 101 or 101B but not Engl 102. It will be offered Autumn 2012 and Spring 2013 only. The course focuses on researching and writing the research essay. Pre-Requisite: To take this course you must: Have taken the following Courses 15ENGL101 min grade C-, or 15ENGL101B min grade C-, or 15ENGL101H min grade C-, or 28ENGL101 min grade C-, or 32ENGL101 min grade C-, or 34ENGL101 min grade C-, or 34ENGL101H min grade C-, or 42ENGL101B min grade C-.",23.1301
"ENGL2007","ENGL","2007","AMER LIT SURVEY I",3,"ENGL","Undergraduate","This course surveys the first half of the Americanliterature, from its origins to 1900, emphasizing major literary figures, trends, issues, and genresof the historical period.",23.1402
"ENGL2008","ENGL","2008","AMER LIT SURVEY II",3,"ENGL","Undergraduate","This course surveys the second half of the American literature, from 1900 to the present, emphasizing major literary figures, trends, issues, and genres of the historical period.",23.1402
"ENGL2011","ENGL","2011","INTRO CREA WRIT FIC",3,"ENGL","Undergraduate","Writing of short stories; examination and discussion in class of students' work; assigned readings for history, theory of the short story, and critical analysis.",23.1302
"ENGL2012","ENGL","2012","INTERMED FICTION",3,"ENGL","Undergraduate","Writing a short story; examination and discussion in class of student's work; assigned readings for history, theory of the short story, and critical analysis. Limited to 20 students. COURSE GOALS ANDOBJECTIVES: This course will continue to develop the skills of generation, production, revision, and editing process of writing fiction, rather than solely on polished finished products. Students will work on informal story prompts and continue to revise them for inclusion in a final portfolio. Students will spend as much time reading as writing, and will use the authors from their text or outside reading to practice several imitations, focusing on craft , style, structure, and language.",23.1302
"ENGL2014","ENGL","2014","RHETORICAL GRAMMAR",3,"ENGL","Undergraduate","This course takes as its core the study of Englishsyntax. As a discourse community, the class will systematically examine the functions and interrelations of sentence components - words, phrases, and clauses. We will work inductively to form grammatical rules and apply those rules in creating prose writings that are correct in syntax, usage, and punctuation. Upon completing this course, students will be able to conduct syntactical analyses of almost any sentence presented to them, generate a variety of syntactical structures, understand rhetorical implications of grammatical choices, and improve writing and proofreading skills.",23.1301
"ENGL2017","ENGL","2017","INTRO POETRY WRIT",3,"ENGL","Undergraduate","Writing of poetry; examination and discussion in class of students' work; assigned readings for history, theory of poetry, and critical analysis.",23.1302
"ENGL2018","ENGL","2018","INTERMED. POETRY",3,"ENGL","Undergraduate","Writing of poetry; examination and discussion in class of each student's work. COURSE GOALS AND OBJECTIVES: This course will continue to build on the skills of generation, production, revision, and final editing begun in ENGL 217. Students willwork on informal writing assignments related to each week's focus and will then continue to revisethose poems for inclusion in a final chapbook. Students will spend as much time reading as writing, and will use the authors from Contemporary Poetry to practice several imitations, focusing on craft and form.",23.1302
"ENGL2021","ENGL","2021","WORLD LITERATURE I",3,"ENGL","Undergraduate","A comparative study of literary traditions from Africa, the Americas, and Asia as well as Europe. Each term will focus on a particular literary period, genre, or theme. ENGL 2021 and ENGL 2022 are equivalent courses set up so that students maytake World Literature more than once as topics vary.",23.1401
"ENGL2022","ENGL","2022","WORLD LITERATURE II",3,"ENGL","Undergraduate","A comparative study of literary traditions from Africa, the Americas, and Asia as well as Europe. Each term will focus on a particular literary period, genre, or theme. ENGL 2021 and ENGL 2022 are equivalent courses set up so that students maytake World Literature more than once as topics vary.",23.1401
